"row.names","Stationsnät"
"2013-12-01 06:00:01","129.8"
"2014-01-01 06:00:01","124.3"
"2014-02-01 06:00:01","113.8"
"2014-03-01 06:00:01","38.5"
"2014-04-01 06:00:01","67.8"
"2014-05-01 06:00:01","61.3"
"2014-06-01 06:00:01","42.4"
"2014-07-01 06:00:01","47.7"
"2014-08-01 06:00:01","127.8"
"2014-09-01 06:00:01","39.0"
"2014-10-01 06:00:01","315.2"
"2014-11-01 06:00:01","72.3"
"2014-12-01 06:00:01","75.5"
"2015-01-01 06:00:01","147.2"
"2015-02-01 06:00:01","44.5"
"2015-03-01 06:00:01","71.2"
"2015-04-01 06:00:01","37.0"
"2015-05-01 06:00:01","112.3"
"2015-06-01 06:00:01","52.4"
"2015-07-01 06:00:01","79.9"
"2015-08-01 06:00:01","75.6"
"2015-09-01 06:00:01","99.1"
"2015-10-01 06:00:01","5.3"
"2015-11-01 06:00:01","127.2"
"2015-12-01 06:00:01","89.7"
"2016-01-01 06:00:01","62.8"
"2016-02-01 06:00:01","45.4"
"2016-03-01 06:00:01","55.7"
"2016-04-01 06:00:01","53.4"
"2016-05-01 06:00:01","29.9"
"2016-06-01 06:00:01","74.3"
"2016-07-01 06:00:01","71.4"
"2016-08-01 06:00:01","83.1"
"2016-09-01 06:00:01","38.8"
"2016-10-01 06:00:01","43.4"
"2016-11-01 06:00:01","95.6"
"2016-12-01 06:00:01","41.0"
"2017-01-01 06:00:01","46.8"
"2017-02-01 06:00:01","64.7"
"2017-03-01 06:00:01","58.0"
"2017-04-01 06:00:01","53.2"
"2017-05-01 06:00:01","25.3"
"2017-06-01 06:00:01","139.0"
"2017-07-01 06:00:01","28.3"
"2017-08-01 06:00:01","72.8"
"2017-09-01 06:00:01","80.2"
"2017-10-01 06:00:01","113.9"
"2017-11-01 06:00:01","60.5"
"2017-12-01 06:00:01","89.3"
"2018-01-01 06:00:01","105.6"
"2018-02-01 06:00:01","37.3"
"2018-03-01 06:00:01","30.5"
"2018-04-01 06:00:01","67.2"
"2018-05-01 06:00:01","12.9"
"2018-06-01 06:00:01","39.8"
"2018-07-01 06:00:01","61.0"
"2018-08-01 06:00:01","94.6"
"2018-09-01 06:00:01","108.0"
"2018-10-01 06:00:01","53.4"
"2018-11-01 06:00:01","74.2"
"2018-12-01 06:00:01","45.8"
